id,filename,load parameters,vuln_number,compiled,verified,loaded,load_output
52,XDPs/xdp_synproxy/patches/5_36b_ptrobj/0001-feat-5.36b-ptrobj.patch,none,,true,true,true,
53,XDPs/xdp_synproxy/patches/5_36c_ptrobj/0001-feat-5.36c-ptrobj.patch,none,,true,true,true,
54,XDPs/xdp_synproxy/patches/5_39_taintnoproto/0001-feat-5.39-taintnoproto-Using-a-tainted-value-as-poin.patch,none,,true,true,true,
55,XDPs/xdp_synproxy/patches/5_40_taintformatio/0001-feat-5.40-taintformatio-Using-a-tainted-value-to-wri.patch,none,,true,false,false,
56,XDPs/xdp_synproxy/patches/5_45_swtchdflt/0001-feat-5_45.patch,none,,true,true,true,
57,XDPs/xdp_synproxy/patches/5_46a_taintsink/0001-feat-5.46-taintsink_1-Tainted-potentially-mutilated-.patch,none,,true,false,false,
58,XDPs/xdp_synproxy/patches/5_46b_taintsink/0001-feat-5.46-taintsink_2-Tainted-potentially-mutilated-.patch,none,,true,true,true,
59,XDPs/xdp_synproxy/patches/5_46c_taintsink/0001-feat-5.46-taintsink_3-Tainted-potentially-mutilated-.patch,none,,true,false,false,
60,XDPs/xdp_synproxy/patches/5_4a_boolasgn/0001-feat-5.4-boolasgn-No-assignment-in-conditional-expre.patch,none,,true,false,false,
61,XDPs/xdp_synproxy/patches/5_4b_boolasgn/0001-feat-5.4-boolasgn_2-No-assignment-in-conditional.patch,none,,true,false,false,
62,XDPs/xdp_synproxy/patches/5_9_padcomp/0001-feat-5.9-padcomp-Comparison-of-padding-data.patch,none,,true,true,true,
